恒888(00:00:00): 上面操作还是这个上面操作的？

maixiao(肖迈)(00:00:03): 呃呃，主要是主要是我们现在还在规划，所以想先了解一下您现现在是怎么做的，所以我就是想问一下您现在的工作嘛，然后我想先问一下您现在在呃村里都负责哪些方面的工作呢？

恒888(00:00:06): Thank. 

恒888(00:00:16): 我负责的是。

maixiao(肖迈)(00:00:20): 嗯嗯。

恒888(00:00:21): 那个很杂嘛，反正还是比较杂嘛，然后这个。嗯，那个穿上这是我在负责。

maixiao(肖迈)(00:00:28): 浩川这是您在负责，呃，因为主要是我们是想了解一些关于表格的，所以所以可能就接下来的问题都可能会关于表格。嗯，那那就是我想问一下，平时的话村里接到表的就是表格处理或者是表格信息上交的这种情况多不多呢？

恒888(00:00:30): 嗯嗯。

恒888(00:00:45): 呃，我们村上的工作也也涉及到。一般我们用的是那个，我们用 WPS 或者 excel 就可以做了。Thanks. 

maixiao(肖迈)(00:00:54): 噢，我知道，我知道，但我想我就是想问一下，呃，就是这种任务的来源，它是镇上派来的，还是说县里直接派发过来的？

恒888(00:01:03): 嗯，一般就是镇上有。有一些它是可以做的那个表格模板嘛，有一些是我们可以自己自己那个。

maixiao(肖迈)(00:01:09): 嗯嗯。

恒888(00:01:13): 比如说村上的一些事物啊，我们可以。

maixiao(肖迈)(00:01:13): 哦哦。

恒888(00:01:15): 呃，为了方便统计的话，我们也会自己做一些表表格。

maixiao(肖迈)(00:01:19): 噢，了解就是嗯，就是您可能有两部分的表，一个是镇上，就是可能下面发的一些任务需要填，那另外就是村上你们自己记录会有一些表格，对吧？

恒888(00:01:28): 啊对对。

maixiao(肖迈)(00:01:30): 嗯，好的，那我想先问一下，就比如说镇上的这个表格的话，它一般会是这种任务大概多久一次，然后是定期的吗？还是说是临时的任务？

恒888(00:01:40): 嗯，也有定期的，也有不定期的。

maixiao(肖迈)(00:01:43): 嗯，能不能具体说一下呀？

恒888(00:01:45): 比如说一些报表之类的，就是每个月的固定的哈，还有一些就是比如说突发的一些工作，我们要完成的，它也许会临时来。

maixiao(肖迈)(00:01:54): 噢，了解啊，那报表一般是什么类型的，或者是大概的内容是怎样的呢？

恒888(00:01:56): 不行。嗯，涉及到人员的增减啊那些。还有是我们的一些，呃，比如说有有一些方面工作上面的，我就不好说了，就是反正基基本上就是说一些工作报表吧。

maixiao(肖迈)(00:02:04): 嗯嗯。Mm. 

恒888(00:02:11): 每个月都会有的。

maixiao(肖迈)(00:02:12): 噢，就是了解就是，呃，可能一方面是村里的人员的一些增减，比如说出生啊，或者是死亡啊，然后另外一方面就是涉及到您的日常工作的一个留痕，或者是存档是吗？噢，了解，嗯，唉，那那临时性的，比如说会有哪些呢？

恒888(00:02:19): 哦，对是。啊对的。临时性的。嗯，就是。它上面比如说镇镇上的一些工作嘛，它有也会有有突发的一些来来的一些表啊。

maixiao(肖迈)(00:02:42): 嗯，你就可以大概对。

恒888(00:02:42): 也会，比如说，比如说一些普查之类的，还有。呃哎呀，反正这个也也怎么说呢，比较杂嘛！

maixiao(肖迈)(00:02:51): 嗯，就是因为我们是想了解一下，就是大概的呃，所有的这些细节的对细节的一些过程或者内容，然后给它抽象出来，看怎么样能够在我们的平台上给大家一些减，就是减轻一些负担，所以就想了解一下具体的一些工作的细节，那，呃，比如说统计啊，普查这些这种临时性的，还有什么呢？是不是一些安全啊，或者什么森林防火啊，这些。

恒888(00:02:55): 统计资料。You you. 为啥不是。我觉得我觉得要运用在我们当中哈，运用在我们当中。就是现在不是有个腾讯里的一个呃，统计的一个小程序吗？比如说他们学校里面有些老师哈，他们也会，比如说。收集学生的一些信息啊之类的，他们也会用到一些那个就是自主设设计。

maixiao(肖迈)(00:03:31): 在线表格。

恒888(00:03:33): 对自主设计，然后它自主的生成一个表格，然后就方便我们统计。那样那样那样的，我觉得你们这上面也可以用一些那种。嗯，那个叫我看一下叫什么？

maixiao(肖迈)(00:03:42): 嗯嗯，对对对。

恒888(00:03:45): 软件那个。我因为我们。主要是我们村上的话那种其实呢也不是很方便用，因为因为我们针对的人群哈，它不像那种。嗯，比如说他们家长哈和老师发号的声声令的话，他们会都会完成。像我们村上的工作的话，不一定他们就是有很多人不会用老人机的话。

maixiao(肖迈)(00:04:03): Thank you. It's. Thank you. 

恒888(00:04:05): 也是很麻烦的。

maixiao(肖迈)(00:04:05): It is. 

恒888(00:04:06): 我觉得就自主一点嘛！

maixiao(肖迈)(00:04:07): 对，我知道嗯对对我了解就是。

恒888(00:04:09): 我我看下这个。

maixiao(肖迈)(00:04:11): 嗯，我我我对那那我想问一下，就是这种就回到我们刚刚说的就是可能您说有一些普查啊，安全性的，它这些定期的或临时的大概每年有多少张表要填呢？就是没类型的表。或者是每个月大概有多少张表要填呢？

恒888(00:04:29): 嗯，其实基本上基本上每天都我们都会涉及到一些。

maixiao(肖迈)(00:04:34): 哦，每天都有几张，

恒888(00:04:35): 他们几个刚好回来。

maixiao(肖迈)(00:04:39): 这每天都有几张要填吗？天呐！所以，所以。所以我们基层的任务还是挺重的。

恒888(00:04:47): 啊对。

maixiao(肖迈)(00:04:49):  Ok 每天都有，那那那一般这种表它比如说什么普查啊，或者是一些安全检查相关的这些，那你就比如说要核对信息，嗯，大家都会怎样去，呃，怎么说就是怎么收集这个信息的呢？就您直接下去面对村民收集，还是说会通过谁来分工完成，能不能介绍一下？

恒888(00:04:58): 就是。

恒888(00:05:09): 嗯，我们，我们下面还有一个居民小组居民小组长，然后我们有的时候那个表格就是我们打印出来，然后给。

maixiao(肖迈)(00:05:14): 我都不知道不清楚。

恒888(00:05:18): 给居民小组长，然后进行收集。进行填了，填了之后我们有我们在汇总那个电子表格，因为因为现在的哈队长哈就是居民小组长哈，他们他们没有，他们不会操作电脑，就是基本上他们就是嗯，就是手写的，然后我们。

maixiao(肖迈)(00:05:29): 嗯嗯。Hmm. 

恒888(00:05:35): 把那个预制的那个表给他们，然后他们手写。

maixiao(肖迈)(00:05:37): 嗯嗯。

恒888(00:05:38): 那看着。

maixiao(肖迈)(00:05:38): 噢，了解了就是可能更多的还是呃，由我们村两委，然后下发给这种队长，然后让他们呃，

恒888(00:05:47): 你没。

maixiao(肖迈)(00:05:48): 把这个表格打印出来，然后他们手写，然后您再进行一个这个手写转电子对吗？

恒888(00:05:51): 你喊我看到我。啊对。

maixiao(肖迈)(00:05:56): 噢，那那那这种过程中不是很繁琐吗？如果手写转电子这种过程中。

恒888(00:06:00): 是很繁琐的呀，比如说遇到一种像比如说前两年哈那个疫情来说哈。他们每天都要那个报那个外外出返乡的那种人员。有的时候我们会在群里面收集，有的时候会就是。有很多很多表的那种就是。比如说那个以疫情为准哈，那个就是那是因为他们每天都要报那个外外外地回来的那种人员要报，要报那个地址啊，那些还有就是。

maixiao(肖迈)(00:06:19): 嗯嗯。对吧。

恒888(00:06:26): 呃，我们也要报，他就是有没有那个接种接种啊，还有就是。

maixiao(肖迈)(00:06:30): 哦，接种疫苗那些的？

恒888(00:06:32): 对的对的，很多很多的每天都要那个。

maixiao(肖迈)(00:06:35): 声音。唉，那那这边都是村委在处理吗？可能我我我感觉应该是工作量很大。

恒888(00:06:37): 我可没说他学习好。是啊啊。是很大，因为我我就具体负责的那一块工作嘛，所以说每天因为他那个疫情严重的时候，每天都要每天都要做那个表。

maixiao(肖迈)(00:06:49): 嗯嗯，了解，唉，那我想问一下，可能比如说呃在收集信息的过程中是怎么样，是在微信群里面发通知或者是接龙还是说打电话还是说挨家挨户上门？

恒888(00:06:53): 就是你不要乱说话。我这边儿咱们就是玩玩去。其实这种方法我都用过，就是在那个收集这种事情的时候。

maixiao(肖迈)(00:07:05): 嗯嗯。对对对。

恒888(00:07:07): 嗯，就是呃，一般来说哈，年轻人哈，他们都知道，就是说你只要在群里面发的话，他们都会把那个地址给你发过来，比如说那个你要的事情嘛，他们就会按照那个。

maixiao(肖迈)(00:07:09): 一个。

恒888(00:07:18): 格式来发给你，但是一般很多人他不会用。在微信上面收集也很麻烦，他们不会用的。

maixiao(肖迈)(00:07:24): 嗯噢，所以这个时候就会。

恒888(00:07:25): 嗯，有的时候这样报的报的话，他们写的字有的时候也会出现一种就是有看不清的呀，也很麻烦的这种。

maixiao(肖迈)(00:07:32): 嗯，对，那种对呀，写字看不清咋办呢？

恒888(00:07:34): 因为他们。嗯，他们也不会用。那就再打电话核实呗，一会我打电话问你。打电话问就打电话问统计啊！

maixiao(肖迈)(00:07:41): 哦，你不会。噢，了解了，就是一般的话可能会比如说如果能发给年轻人，然后他们微信上就回了，就把这个信息给收集起来了。然后可能如果其他的就是手写呃，手写区的话，如果不清晰的话再打电话再核实噢，好的，感谢，因为其实我们就需要了解这些很细节的东西，然后才能在流程上给一些帮助啊，或者是怎么样的，对，所以你有什么就是细节都可以直接讲，然后有一些困难，所以我想问一下就是比如说。

恒888(00:07:51): 嗯嗯。对头对对。嗯嗯。

maixiao(肖迈)(00:08:12): 嗯，这种这种这种这种成本大概就是您在做这个表格的管理啊，表格的信息，这种成本来占，你怎么说这种时间占你是占整个工作的大概多少呢？就是百分之。

恒888(00:08:28): 还是挺大的吧，比如说工作忙的时候。基本上就是一天到晚都在跟那个**打交道。呃，工作不忙的时候，比如说要好要好一点。

maixiao(肖迈)(00:08:35): 哇，一天都在嗯！嗯，那不不，忙的时候大概占多少呀？对我我我跟那边认识。

恒888(00:08:42): 父母平时要正常工作的话。

maixiao(肖迈)(00:08:44): 之之之前噢，半个小时左右，那还可以。嗯，那那这种半个小时左右的话，你一般可不可以跟我说一下，大概是处理哪些类型的表格呢？就这种半个小时的，它可能不是说那种突然有一个什么任务派发下来，然后收集可能一天都在处理。

恒888(00:08:44): 一般就是半个小时左右。嗯嗯。比如说最近的话就是呃，不是那个传染病筛查嘛，我们要做那个呃，就是核对一下，比如说呃我们用那个嗯查找引用，比如说要核对他这个人到底是我们我们村的，我们村的，那他有没有，有没有，有没有，有没有筛查，然后我们要及时把这个信息发给反馈给队长。

maixiao(肖迈)(00:09:02): 嗯嗯。唉，他啊，可能大家我我我先提出一个问题就是说嗯。啊给他。

maixiao(肖迈)(00:09:23): 噢，筛查啥呀？噢，传染病，嗯嗯，了解就是可能上面有一个信息说我们来筛查一下这个传染病，然后就明确让队长然后去挨家挨户的。

恒888(00:09:26): 传染病啊，我现在这，现在我们我们四川这边有一个艾滋病比较严重嘛，比如我以你现在举例吧，就比如说这个。这个表这个表我们要及时的反馈反馈，队长要核对啊，还有就是统计啊之类的嘛。然后。

maixiao(肖迈)(00:09:47): 或者是怎么样去筛查看呃？这个组内的人是不是，是不是有这个，对不对？嗯，那怎么筛筛查呢？

恒888(00:09:54): 嗯，要全员的筛查。啊，其实这个我怎么好说呢，这种这种工工作上的。

maixiao(肖迈)(00:09:59): 你们对于这个映射关系去怎么去处理我们？他说受这种单的一些信息。

恒888(00:10:04): 你跟表格上其实也没有多大的关系，就是就是我们比如说表格当中用的比较多的话，我我用的比较多的就是就是我目前学会的就是。

maixiao(肖迈)(00:10:06): 下细节顺点再去。来对比一下我们刚刚表的那些数据。可是啊，就数数学数值这块，唉，可是基础作为一个映射关系的。

恒888(00:10:14): 肯定肯定那种基本的功能，你要还是就是那个。一个查找引用就是比对，比对那个信息，用身份证号码来比对。

maixiao(肖迈)(00:10:19): 哪一些授权可能纳入这个项目？嗯噢，了解。

恒888(00:10:24): 还有。还有就是你一般平时那种复制粘贴那种就不说了嘛，就是。

maixiao(肖迈)(00:10:27): Let's. 没错。

恒888(00:10:29): 就是那个比对比对那个信息啊，还有就是我们要引用到这个另外一个表上面来。

maixiao(肖迈)(00:10:35): 嗯，就是可能从一张比如说大的有基本信息的表，然后把这部分的信息呃可能要贴到另外一张需要这个信息的表。

恒888(00:10:45): 大大规模的操作，这这个很用的，比如说我们要电话号码那些。

maixiao(肖迈)(00:10:45): 没有。

恒888(00:10:49): 就是比较用的比较多一点的电话号码呀，身份证啊，还有他的务工地址啊。不能。

maixiao(肖迈)(00:10:56): 了解呃，我们有有两呃，那我想问一下这种，比如说在收集的过程中，或者是您在呃，就可能在收集信息的过程中，您觉得最担心或者最困难的问题是什么呢？对，第二个是这个村庄本身是哪一个村的，它有村来本身是有用户的。

恒888(00:11:12): 最最困难的就是。就是他们变得太快了。

maixiao(肖迈)(00:11:15): 大家都落在村里。

恒888(00:11:16): 就拿个比方，我们很多工作都要用到它的。

maixiao(肖迈)(00:11:17): 就有有有这个生产？

恒888(00:11:20): 他的现在的弟子哈！

maixiao(肖迈)(00:11:20): 所以我我觉得这时候我嗯也是嗯。

恒888(00:11:22): 就是他的务工地址，比如说他，他今天他这个月在这里，他下个月在在那另外一个地方了，那我们这个收集的时候就比较麻烦。

maixiao(肖迈)(00:11:30): 嗯，就是了解。

恒888(00:11:30): 就很辩论性的。你听他。

maixiao(肖迈)(00:11:33): 因为可能就是这个信息它一直在变，比如说收集一个务工的，然后呃，可能这个月和下个月它所收集下来的信息不一样，那，那这种情况就是需要再11去更新，对吧？所以更新就是可能成本很高。

恒888(00:11:41): 嗯嗯。就花费我们很多时间嘛，是不是？

maixiao(肖迈)(00:11:49): 对吧。嗯，好的，好的了解。

恒888(00:11:51): 你如果如果你们能够把这个方面解决的话，我觉得可以帮助到基层的，比如说。

maixiao(肖迈)(00:11:54): 上次我们不是讨论过一个结论，就是说我们。

恒888(00:11:57): 就是他自主的，他填他的地址哈，填了之后他更新，他又变动了他，他能够，但是也要人为的去那种也要操作人为的去把它。

maixiao(肖迈)(00:11:59): 一个项目对，就是嗯，一个项目会对对对自主填报其实还是挺难的，没关系，没关系，我们先我们先把这些需求都给它收集起来，然后后续我们看能不能怎么样，以一些比较好的方式解决，然后呃可能上一部分都是在问，比如说关于信息收集的一些比较可能问题或者细节，那接下来。

恒888(00:12:07): 让他自主的去去填报这个信息的话也是很难的一个事情。

maixiao(肖迈)(00:12:28): 那我想问一下，呃需呃，比如说在信息你收集上来了怎么给整理，所以我想问一下，首先比如说，呃您收集上来的一些原始的信息是需要整理成什么样子的表格是呃固定的模板还是说怎么样，可不可以介绍一下？

恒888(00:12:45): 一般都是固定的模板，比较方便，统计操作一点。

maixiao(肖迈)(00:12:49): 嗯，怎么说呢，就比如说。

恒888(00:12:49): 只是。你比如说我们现在就是用的哈就是。

maixiao(肖迈)(00:12:52): 可以。

恒888(00:12:54): 就是语音识别字嘛，还有就是看图取字的那种功能我们也会用，还有就是我们自己手工打字嘛。这样子把那个信息输输上去嘛！

maixiao(肖迈)(00:13:02): 哦，就就。

maixiao(肖迈)(00:13:04): 噢，了解就是可能有，比如说有固定的模板，但是呃您您现在收集收集上来表格都是手写的，然后这个时候你就会用语音识别，然后看图识字这些对不对？

恒888(00:13:14): 对对对。

maixiao(肖迈)(00:13:15): 噢，了解那还是还是会提效的一些，对不对？

恒888(00:13:20): 嗯，为了方便工作，这些要学。

maixiao(肖迈)(00:13:23): 那那您一般是用什么软件呢？

恒888(00:13:26): 我们我用的是 wps。

maixiao(肖迈)(00:13:30): 噢 WPS 那 WPS 它这个也能语音输入吗？语音识别吗？

恒888(00:13:34): 我们在那个手机上面操作，可以手机上面操作，电脑上面。

maixiao(肖迈)(00:13:36): Thanks. 

恒888(00:13:39): 因为我们你比如说一般电脑的话，你可以配备一种那种那种功能的功能的那个机器嘛，也可以也可以识别，但是我们没有，我们没有，就是方便一点，就是手机上面。

maixiao(肖迈)(00:13:51): 嗯嗯。

恒888(00:13:51): 他还方便一点手机。

maixiao(肖迈)(00:13:53): 啊，用微信吗？

恒888(00:13:53): 连接电脑。微信 qq 都都在用。

maixiao(肖迈)(00:13:57): 噢，就是我我我我我说一下噢，就理解一下，就是您可能呃，这个电脑上是有。

恒888(00:13:57): 可以。啊对啊。

maixiao(肖迈)(00:14:04): 电脑上是有这个 WPS 打开着，然后手机可能用微信的语音转文字或者是这个 QQ 的什么看图识字或者语音转文字，然后发给微信，然后再复制粘贴到表上。噢，我感了解了解，这个很有用，因为这确实是一个比较大家使用的场景和细节，这个非常有用。那嗯，刚刚你说的就是这个语音识别，语音输入识别，然后看图识字还有一个什么呀，我刚没听清，不好意思。

恒888(00:14:33): 就是还有一个就是比如说你电脑里面现在有的有的资料表格可以查找引用过去啊！

maixiao(肖迈)(00:14:34): 他选的哪个区？

恒888(00:14:39): 直接打过去？

maixiao(肖迈)(00:14:40): 哦哦。嗯，好的了解，所以现在就用呃 WPS 的 excel 吗？

恒888(00:14:47): 对啊。

maixiao(肖迈)(00:14:48):  Ok 好的，那呃，就比如说您在整理这些表格的时候，最花时间的，除了刚刚说的从呃手写的转成电子的，还有什么，就是可能呃，比较比较比较繁琐，就觉得比较花时间，比如说计算啊，会不会或者是呃一些一些这种操作图片啊，插入啊什么的。

