sophiayuan(袁雪芬)(00:00:10): It's. 

sophiayuan(袁雪芬)(00:00:30): 可以听见吗？

天宇(00:00:32): 能听见。

sophiayuan(袁雪芬)(00:00:33): 哎，好嘞好嘞！还是要继续再麻烦你一下，因为呃这个背景是这样子的，就是我们现在正在进行，实际上就是关于这个乡村。这个数字化。啊，呃，这项工作嘛，因为我们之前其实嗯，很多时候都在做什么，村里的信息公开啊。但其实在呃，咱们村两委这一块给呃就日常。这个处理信息处理表格这块工作其实是呃，暂时还没有涉及到的，那未来我们希望能够通过这个新的能力，能够帮咱们村两委去解决这个填表的这个负担。所以就想。

天宇(00:01:12): 嗯嗯。

sophiayuan(袁雪芬)(00:01:13): 嗯，跟跟你再继续再深度聊一下。啊，这个事情对对对，反正大概可能大概半个小时左右哈。

天宇(00:01:17): 嗯嗯。嗯，可以。

sophiayuan(袁雪芬)(00:01:23): 啊，因为你你是咱们村从化镇地主要负责填表。工作的这个呃。工作人员对吧？

天宇(00:01:31): 嗯，对。

sophiayuan(袁雪芬)(00:01:32): 啊，那你日常嗯！首先我想了解一下这个工作，你大概做了多久了呀？

天宇(00:01:40): 就五年。

sophiayuan(袁雪芬)(00:01:42): 啊，为什么是由你来做这份工作呢？

天宇(00:01:45): 它是这样，其实就是每人分管的事情，填的就是简单的填，填表的话都是谁谁分管什么东西，然后就由谁来，就是填写，就是复杂的表格，比如说就是呃比较多的要填村民信息或者一些东西的，就需要从户籍表，就是每个村有就是村民户籍基础资料，这个表里边就是去比对数据，然后进行一个填写，比如说就是几百人，上千人一个一个复制复制粘贴工作量。

sophiayuan(袁雪芬)(00:02:09): 嗯嗯。嗯哼。

天宇(00:02:14): 数量就就会挺大，因为我会函数公式嘛，会比对这些，然后我来我来弄的话可能就是几分钟或者十多分钟就能搞定。

sophiayuan(袁雪芬)(00:02:16): 嗯嗯。嗯嗯。嗯哼。哦，这样子哎，那我我从。源头开始跟你聊哈，一般情况下，其实你们收到的三级管理部门的一个需求，就他们是呃会通过呃微信群，微信群发给你们吗？

天宇(00:02:29): 嗯嗯。嗯，是的。

sophiayuan(袁雪芬)(00:02:41): 嗯嗯，是镇里面发给你们还是直接说县或者市发给你们？

天宇(00:02:46): 呃，一般是镇镇级部，镇的镇政府。

sophiayuan(袁雪芬)(00:02:49): 镇政府发给你们那呃是发给书记还是说发给呃两位啊？

天宇(00:02:55): 他直接就是两委，谁在负责，就是这项工作的话会单向连接来，就是比如说我我在负责道路，我在负责，就是各方面我在负责，就是好德信这这这方面，然后单独我我就在那群里边，书记也在群里边有，有事情我就直接就对接我。

sophiayuan(袁雪芬)(00:03:14): 嗯嗯，那你们是你，你比如说他们发给你的会是一段字呢？还是带带文带红头文件或带表格的呀？

天宇(00:03:23): 表格啊。

sophiayuan(袁雪芬)(00:03:24): 啊，是表格多还是 word 多还是 PDF 多呀？

天宇(00:03:29): 表哥。

sophiayuan(袁雪芬)(00:03:30): 表格表格表格是最多的是吧？嗯，然后会说明这个是什么任务，嗯，要收集什么信息，然后你们。表格是什么？是类似这样的是吧？

天宇(00:03:40): 它有它有表头，有表头，然后有一些是有文件，然后给你说里边是怎么怎么填，然后有有有表格的。

sophiayuan(袁雪芬)(00:03:42): 哦哦哦。嗯呐。嗯嗯嗯。噢，那你们收到这个任务之后，嗯，首先我首先肯定是不是所有任务都你们都需要往下去发的嘛，对吧？所以其实这些任务很一般情况下你们怎么分呢？有些我理解，有些任务是你们测量委自己填就行了，有些任务可能是要去收集的嘛，对吧，那收集的话就可能是比如测量委自己去收集是一种。

天宇(00:04:00): 对啊。

天宇(00:04:11): 是啊。

sophiayuan(袁雪芬)(00:04:15): 啊，或者是让网格员或小组长去收集是一种。哦，我不知道我这么理解对不对？

天宇(00:04:19): Thank you. 嗯，对的。

