sophiayuan(袁雪芬)(00:00:00): 当然了，再麻烦你了。嗯，对呀。

罗桂凤(00:00:02): 嗯，没事儿，没事儿。

sophiayuan(袁雪芬)(00:00:04): 对对对，我，我是是是这样的，上一次我主要是找你聊，咱们两委的日常工作都涵盖哪些嘛，对，然后今天呢，主要还是想呃了解比较具体的这个工作，就是上次有聊到我们两委里面日常的工作都是要去处理各种表格呀，各种信息的嘛，特别是上级管理部门，他们会经常下发一些表格让你们来收集，所以主要是想。

罗桂凤(00:00:12): 嗯嗯。好呢。

sophiayuan(袁雪芬)(00:00:31): 想跟你聊这件事情，大概20分钟，咱们应该可以聊完。

罗桂凤(00:00:35): 可以可以可以可以。

sophiayuan(袁雪芬)(00:00:37): 唉，唉，好的好的，唉，你主要是我从头开始啊，因为我了解到的，呃，咱们这个信息的收集流程，你帮我确认一下，对不对哈，一个是啊，上级管理部门一会通过，比如说微信群，特别是镇哈，应该是以镇为为主，通过微信群，然后可能把这个要收集的这个任务啊，或者是红头文件，然后附带的那个表格就发给你们。

罗桂凤(00:00:47): 嗯嗯。

sophiayuan(袁雪芬)(00:01:03): 啊，然后你们收到这个信息之后啊，那如果是两委自己能填的，那就填了，如果两委自己不能填的，需要到下面的小组长收集的就发给小组长去收集，然后小组长收集之后就，呃，再给到两委两委去整理这个信息，整理完了之后再，呃提交给上级管理部门，应该是一个这样的流程是吧？

罗桂凤(00:01:03): 嗯嗯。

罗桂凤(00:01:26): 嗯，对。

sophiayuan(袁雪芬)(00:01:27): 啊，好的，那这里我想了解一下，第一就是咱们上级管理部门啊，下发的这种任务也好，表格也好，我我按月来说吧，每个月大概会有多少？多少张这样要填的表格呢？

罗桂凤(00:01:40): 按月呀。

sophiayuan(袁雪芬)(00:01:42): 对，或者按年也行。

罗桂凤(00:01:43): 一个月的话差不多就也。

sophiayuan(袁雪芬)(00:01:50): 喂，唉，信号有点断了。啊嗯，老师听不见了，信号有点断。嗯哼。

罗桂凤(00:02:09): 唉，没有，刚刚掉线了，我刚刚用的那个我出来了，现在掉线了，你吗说您说。

sophiayuan(袁雪芬)(00:02:16): 哦，对我。

罗桂凤(00:02:16): 一个月可能就56条七八条，反正十条以内嘛，没有一个固定的那个嗯对。

sophiayuan(袁雪芬)(00:02:18): 嗯嗯。十条以内。噢噢噢，那这些表格一般都是那种呃，比较临时性的呢，还是说，呃，它是比如说每个季度要更新的呢，就这种表格。一般怎么分类呢？

罗桂凤(00:02:35): 嗯，一般呢都会有分类，它每一个月它会有固定的那种信息的更新，然后那种的话它就是固定的嘛。但是如果一般临时性的话，它就，嗯，可能就一两天，嗯，一两天34天的那个给你时间收集准备嘛，然后就下发上去，嗯，那个再上报上去就可以了。

sophiayuan(袁雪芬)(00:02:38): 嗯嗯。嗯嗯。嗯嗯嗯。嗯嗯。嗯，也就是说每个月比如说固定的十十张表里面有多少是这种临时性，有多少多少是这种每个月更新的。

