sophiayuan(袁雪芬)(00:00:00): 当时。

sophiayuan(袁雪芬)(00:00:12): 唉，小金书。

小靖(00:00:13): 哎，你好。嗯嗯。嗯，网络不稳。喂，听得到吗？

sophiayuan(袁雪芬)(00:00:28): 好，现在可以，现在可以。

小靖(00:00:30): 嗯，好的好的。

sophiayuan(袁雪芬)(00:00:31): 唉唉，谢谢谢谢那个小李书记给我一个时间哈，主要是对，主要是这样子的，就我们平台正在，呃，进行一项就是关于这个乡村数字化工作的一个研究，然后。

小靖(00:00:35): 没关系，没关系。嗯，好。

sophiayuan(袁雪芬)(00:00:45): 其实主要还是希望未来能够提供一些呃工具给到咱们这个两位去解决，日常工作中就是处理这种信息啊，表格的这些问题。我们希望能够帮助大家解决，减轻一些负担嘛，所以就是会拉，就是咱们每个村都来调研一下，对对对，咱们这边就是书记您一个人是吧？

小靖(00:01:05): 嗯嗯嗯，好的。呃对对嗯。

sophiayuan(袁雪芬)(00:01:10): 嗯嗯。好呀好呀啊，是这样的，就是嗯我们。

小靖(00:01:13): 对吗。

sophiayuan(袁雪芬)(00:01:16): 之前有了解到嘛，就是我们现在村里面有很大的一部分工作，其实是处理三级管理部门下发下来的，呃，各种表格，然后去收集信息，整理信息。再把这些表格回给呃三级管理部门，其实我想知道，呃，首先这些呃任务我们任务是三级管理部门是怎么发给你们的呀？

小靖(00:01:27): 对对。

小靖(00:01:39): 上面呃，上面会就是说如果说要调查一些老人家啊，没有交那个。呃，没有去认证扫脸认证那个城乡居民养老保险的一个名单。啊，然后就说要我们逐一的通知这些人员及时的进行这个连的就是认证生存认证，然后给我们一个名单，然后我们就发到群里面去了。

sophiayuan(袁雪芬)(00:01:56): 嗯嗯。嗯嗯嗯。嗯嗯。

小靖(00:02:04): 群里面去，然后我们六个网格区就会到群里面，我们弄那个文档嘛。

sophiayuan(袁雪芬)(00:02:04): 嗯嗯。嗯嗯嗯。

小靖(00:02:11): 然后通知的情况怎么样？已经落实的怎么样，然后我们通过那个文档就是大家把我已通知，然后已经已扫脸，然后他们就会备注在那里，就方便我们收集收集那个相关的内容。

sophiayuan(袁雪芬)(00:02:11): 嗯嗯。嗯嗯。嗯哼。嗯嗯。

小靖(00:02:25): 对嗯，然后收集好了以后，然后就直接转发给啊，我们上一级的部门这样子。

sophiayuan(袁雪芬)(00:02:25): 嗯嗯。噢，所以其实是相当于是呃，上级管理部门跟你们肯定是有一个群的嘛，对吧？然后在这个群里面，他下发下来一个任务，然后这个任务是带可能带红头文件，然后带要收集的那个表格，那个表格其实是一个本地文件，还是一个腾讯文档呢？

小靖(00:02:39): 在这个。嗯，好。对吧。呃，是一个文件来的。

sophiayuan(袁雪芬)(00:02:52): 文件啊，然后咱们社区里面再把它转成腾讯文档。

小靖(00:02:53): 稳赚稳赚。

sophiayuan(袁雪芬)(00:02:57): 呃，发给网格员。

小靖(00:02:57): 嗯对对对。

sophiayuan(袁雪芬)(00:02:59): 哦哦。

小靖(00:02:59): 我们那个我们社区的群里面。

sophiayuan(袁雪芬)(00:03:02): 嗯嗯，发给网格员是吧？嗯唉，那网格员他们是他们去收集信息，然后他们自己在这个腾讯文档里填写是吗？

小靖(00:03:03): 呵呵。对对。对啊。对对，是在微信上填写填写的对。

sophiayuan(袁雪芬)(00:03:14): 哦哦哦。哦哦。这种这这种方方式是咱们社区里面现在就是收集信息都用这种方式吗？

小靖(00:03:18): 嗯嗯。啊，一般好像其他社区也是这么做了。呃，大部分都是。

sophiayuan(袁雪芬)(00:03:28): 就是咱咱们。

小靖(00:03:29): 嗯，比较方便。

sophiayuan(袁雪芬)(00:03:29): 咱们还还。

小靖(00:03:31): 嗯嗯。

sophiayuan(袁雪芬)(00:03:31): 哦，是唉那。

小靖(00:03:32): 嗯，比较方便。

sophiayuan(袁雪芬)(00:03:34): 那咱们呃网格员的这个数字化水平还是很高的是吗？就是操作这种工具就是都比较比较厉害了，都已经。

小靖(00:03:39): 嗯，还好。嗯，是是的，就是。如果不这样做的话，大家以后然后还要汇总在一起。

sophiayuan(袁雪芬)(00:03:48): 然后。嗯嗯嗯。

小靖(00:03:52): 这种在一起，然后你直接的话就比较方便一点嘛，嗯。

sophiayuan(袁雪芬)(00:03:52): 因为。哦哦。噢，因为我我了解到的是很多其他地方的这个村或者是社区，他们的网格员也好，或者是他们的小组长也好，年纪都是比较大的，所以他们一般用不来这种数字化工具，咱们网格员是嗯，年年纪比较比较比较，就是年年龄比较小嘛，还是怎样。

小靖(00:03:57): 嗯嗯。

小靖(00:04:16): 也不小，也有50多岁了。

sophiayuan(袁雪芬)(00:04:19): 嗯，那他们是你，你们是专门培训过他们怎么用腾讯文档吗？

小靖(00:04:20): 因为我。唉，对的，就是说我们不是，呃，一个就是两两委干部的话，每一个人都有一个线条的嘛，就是说这一个任务是这一个啊，负责民政这一块的，他负责的，然后这个文档就由他发起。

sophiayuan(袁雪芬)(00:04:31): 嗯嗯嗯。嗯嗯。

小靖(00:04:38): 然后然后大家要怎么做，我们就在电脑上面。

sophiayuan(袁雪芬)(00:04:38): 嗯嗯。

小靖(00:04:41): 就逐一的就培训，他们说你到时候你什么时候接收到这个啊，看到这个表格要有什么任务要填的时候你是怎么打开，你要怎么操作啊，这样子跟他们说一下啊，就是培训一下就可以了，也不是很难。嗯，对。

sophiayuan(袁雪芬)(00:04:46): 嗯嗯。嗯嗯。嗯嗯。哦那。那网格员是在手机上用腾讯文档吗？

小靖(00:05:00): 唉，在手机上也有，但是就不太方便，手机的话看的话就嗯，他的那个看的那个有局部就是可以看到局部不会看到整整张表，然后在电脑上查看的话就是比较方便一点，可以直接打开填一张表格，这样对。

sophiayuan(袁雪芬)(00:05:04): 嗯，好。

sophiayuan(袁雪芬)(00:05:16): 哦诶，那网格员他也有电脑吗？

小靖(00:05:17): 嗯嗯嗯。

小靖(00:05:20): 有有我们。

sophiayuan(袁雪芬)(00:05:21): 理由是吧嗯！

小靖(00:05:22): 啊，每个网格员都有一部电脑对。

sophiayuan(袁雪芬)(00:05:24): 哦，咱们经济条件比较好呀！

小靖(00:05:26): 嗯哼。没有没有，没有，没有，那那些电脑都是都是捐赠的，都是捐赠的。

sophiayuan(袁雪芬)(00:05:32): 捐赠的是吧？噢，所以所以其实他们呃，收到这个任务之后，然后可能呃大，是不是大部分任务都是需要入户去调查的呀？

小靖(00:05:34): 嗯对对对。嗯嗯。

sophiayuan(袁雪芬)(00:05:43): 他们是怎么调查现在？

小靖(00:05:44): 嗯，有一些呢是直接入户，有一些一部分是有加了微信的。

sophiayuan(袁雪芬)(00:05:47): 嗯嗯。

小靖(00:05:50): 啊有还有电话号码的？啊，可以直接打电话，然后就可以有，有一些是可以微信上直接联系。

sophiayuan(袁雪芬)(00:05:52): 嗯嗯。

小靖(00:05:58): 还有一些呢，还有一些就是说啊，没有通信工具的，就是一些老人家不太。

sophiayuan(袁雪芬)(00:05:58): 嗯嗯嗯。

小靖(00:06:04): 啊，就是也他没有电话的，我们这边也有，有一些老人家没电话的，也有，我们就到他家里去这样子。

sophiayuan(袁雪芬)(00:06:08): 嗯嗯。嗯嗯。噢，然后他去呃线下或者是电话或者微信收集好了之后再从腾讯文档填好这些信信息是吗？

小靖(00:06:18): 嗯嗯。对对对。Philip. 

sophiayuan(袁雪芬)(00:06:23): 哦，那相当于其实呃网格就是你们的网格员还负责了这种整理信息的工作嘛，对吧？

小靖(00:06:31): 嗯，对的。

sophiayuan(袁雪芬)(00:06:32): 那会不会存在，比如说啊，这一次，比如说这一次要填的很多的信息，比如说会涉及到这种姓名啊，手机号啊，身份证啊，银行卡号啊，这些信息，这些信息是你们有底表存存的这些信息吗？还是怎样？

小靖(00:06:37): 嗯嗯。嗯嗯。

小靖(00:06:49): 呃，有有这些信息的我们有。

sophiayuan(袁雪芬)(00:06:52): 哦，每个。

小靖(00:06:52): 每个每个居民的信息我们都有的。

sophiayuan(袁雪芬)(00:06:56): 那网格员他们比如说去调查，去调查的时候肯定不会再去调查这些信息嘛，对吧？

小靖(00:06:57): 嗯嗯。不是。

sophiayuan(袁雪芬)(00:07:02): 那他们在填这些信息的时候，是从底表里面去复制出来吗？还是怎么一个操作方式啊？

小靖(00:07:02): 嗯嗯。啊，一般的话都是我们以以前有填过的话就是在电脑上面有保存的。

sophiayuan(袁雪芬)(00:07:16): 嗯嗯。

小靖(00:07:16): 讲东西要填的时候我们就上去嘛！

sophiayuan(袁雪芬)(00:07:19): 然后就是从可能从电脑里的那个 excel 文件里面复制到腾讯文档里面去是吧？

小靖(00:07:25): 对对对对的。

sophiayuan(袁雪芬)(00:07:26): 哦哦哦。

小靖(00:07:26): 真的。

sophiayuan(袁雪芬)(00:07:27): 那那这种情况会不会存在？操作的问题啊，就是操作比较复杂，我不知道，比如说很多 excel 表格，它可能需要用到公式啊，或者需要用到筛选器啊，就是咱们网格员对这些操作都是没有问题的是吗？

小靖(00:07:39): 我就。呃，也不是没有，不是没有问题，只有个别会只有呃，只有几个一两个。

sophiayuan(袁雪芬)(00:07:46): 嗯嗯。特别会啊。

小靖(00:07:51): 呃，一两个会熟悉这个操作，你是说的那个公式什么的，我们网格员只会全部的话，只会简单的那个操作，如果要搜索就是对填写什么的，然后那个公式什么的可能还不太会，只有一两个，呃，只有一两个会对。

sophiayuan(袁雪芬)(00:07:56): 嗯嗯嗯。就是搜索是吧？嗯嗯。哦哦。Protection. 哦，那他们是不是？都在那个底表里去搜，比如说搜这个人的名字，然后再把信息复制出来到腾讯文档里面去，是这样的吗？

小靖(00:08:18): 嗯嘛。对对对对对！

sophiayuan(袁雪芬)(00:08:22): 唉，那你们主要收集的就是就是这种表格哈，一般都是什么样的表格，是是这种临时任务比较多的呢？还是那种，比如说需要每个月每周或者每天？都去收集更新的这种表格比较多呢！

