maixiao(肖迈)(00:01:06): 曾书记你好，唉，你好，郑书记好，我们来打扰您了，我们三个都在一起，对对对！

曾凡江(00:01:08): 你好几位老师好！呵呵呵。没有没有。

maixiao(肖迈)(00:01:18): 对对，我们就是想是是是这样子的，郑书记，我们现在正在进行一项就是关于那个乡村数字化的一个工作的调研，然后主要是想了解咱们村里面就日常的工作当中是怎么去处理各种就是上级下发下来的这种收集信息或收集表格的这个工作的，然后主要是未来希望我们希望通过。数字化的工具，帮助大家减少在表格这一块工作的这个负担，所以就想先和您聊一下，了解一下，然后跟您聊完，如果咱们村有专门负责，比如说表格收集或表格整理的。两位成员也可以帮我们拉个群，我们也可以继续跟他一起再聊，就是对我们想更多的了解这些信息。没有。

曾凡江(00:02:07): 好的好的，因为现在基层这个表格呢是非常多的，一开其实呢，这个表格的话你会简单会点电脑的呢，其实是是不是很难的，但是就是有有的时候他们就是。

maixiao(肖迈)(00:02:14): 对。

曾凡江(00:02:26): 要求要做个什么东西的，他没有发一个模板给我们，就让我们自己做，在这种时候的话，我们稍微电脑不是很很好的，这这一种类型的，它做出来。就是看着不是很很舒服，就是说他不知道怎么做，比如现在做的基本上的村上的表格呢，简单的就是横横和列，就是两两个类型的都还问题不大。比如说有的里面。加了很多内容的，要合并的很多，做起来可能就就比较麻烦，比较吃力了。如果是说。

maixiao(肖迈)(00:02:59): 这些其实就是在表那个收集完信息之后，整理表格上可能会遇到的这个问题，因为它们有固定的格式是吧？要我买，那我们先，那我想先了解一下，就是你刚刚提到这些表都是上面部门发下来的吗？通常都是哪些部门会发这些表格给你，一会有会有大概多少个部门发这些表给你们呢？

曾凡江(00:03:10): 对。本来现在政府。你说。

曾凡江(00:03:27): 应应该说发给我们的表格的话，设计的每一个部门都会发给我们。

maixiao(肖迈)(00:03:32): 就是。

曾凡江(00:03:33): 现在我们基层基本上就是上面千条线。下面一根根所有的东西都是从我们基层这这边走。

maixiao(肖迈)(00:03:37): 那就是政府有部门就有可能，就只要他要收表，他就都都到村委这儿来，上面有多少个部门。

曾凡江(00:03:47): 基本上上面就丢个文件过来，然后就他们就会把文件丢给我们，然后我们把基础数据弄上去，最麻烦的是，比如说，比如说一个灾情上报是吧，下雨了。这个专家受损了是吧？这一个是他们就会农业农村这边要求要报应急，这边要报民政要求要报他就是每一个部门，他都会要让我们提供这样的一个。

maixiao(肖迈)(00:04:00): 好的。不错。

曾凡江(00:04:16): 一个数据跟他们这这个是非常反正他们，而且。

maixiao(肖迈)(00:04:19): 那我想了解一下，我想了解一下这些，首先这些要上报的表是县里面直接发给你们，还是通过镇里面再发给你们的。

曾凡江(00:04:30): 通过这里面它一层一层的下来的。

maixiao(肖迈)(00:04:31): 好的，这是第一个问题。第二个问题是你刚刚提到，比如说就一个灾情上报这这个事情对吧？然后不同的部门给你不同的表，那这些表它就是要求收集的信息是一样的吗？格式是一样的吗？就是不一样的格式，然后搜集的信息也是不一样的是吧？

曾凡江(00:04:49): 不一样不一样。有相同的，比如说这个户主他受了什么灾，这个这个内容相同的，但是比如说他是住建的这一块，他就只关心是住房。他的偏重于住房，比如说农业，农村，它就是偏重于这个庄稼，对他是这样这样弄的，下面基层的话，整天比如说我们现在坐在办公室搞电脑的，大概有四个人。

maixiao(肖迈)(00:05:10): 放假。

曾凡江(00:05:21): 村上五个人，然后要会电脑的，就是至少是四个人。

maixiao(肖迈)(00:05:24): 好的，唉，那我那我可能待会儿我们会议完之后需要麻烦你把就这一个事情，就这一个灾情上报各个部门发给你的表，可能需要你发给我们一下，就我们来研究一下每个部门。的表达的收集的方式有什么不一样，待待会会后需要你麻烦你发给我们一下，这是我的第一个，第一个问题，然后第二个问题是我想知道就是这种表格的收集，它的频率高不高，就比如说你们是每天都会收到这种任务呢？还是说可能就每个月或者是。

曾凡江(00:05:45): 好的好的。我我找一下这个。

maixiao(肖迈)(00:06:03): 有的有灾的时候或者说有特殊事项的时候才会收到这种表。

