杨胜青(00:00:00): 一老一小的这种残疾的。

iriswong(王钰)(00:00:04): 然后这些表就很多，就是每天都有很多表要上报是吧？

杨胜青(00:00:08): 对，都有那个迪士尼？基础信息的就是我们这说的这个人口信息这一块啊，最基础的。

iriswong(王钰)(00:00:16): 嗯嗯。

杨胜青(00:00:16): 对不对，自然增减就包括人员的这个信息的变更，就是他的学历的一些变更啦。是吧，这个是属于基础信息，还有他的电话变更了。

iriswong(王钰)(00:00:22): 嗯嗯嗯。

杨胜青(00:00:26): 因为我们现在这边的时候，你知道我们在做做脱贫攻坚的时候，他现在是有两套两套系统在做嘛？一套就是我们纯粹就是人口信息嘛！那么一套呢，就是国办系统的嘛，就是针对专门针对就是建档立卡这个脱贫户的这一块人员。

iriswong(王钰)(00:00:36): 嗯嗯嗯。

杨胜青(00:00:42): 在做的，因为他们要享受这个。

iriswong(王钰)(00:00:42): 嗯嗯。

杨胜青(00:00:45): 呃，政策的。帮扶嘛，所以他单独独立了一个系统嘛。

iriswong(王钰)(00:00:50): 哦，您呢。

杨胜青(00:00:50): 这样的。

iriswong(王钰)(00:00:51): 就是呃，是这个独立的这个系统是你们自己填的表，还是说有一个系统让你们去录入啊？嗯嗯。

杨胜青(00:00:59): 他那个系统只能到乡镇级别，我们没有权限。所以我们要报表报给他们，他们才去去去做，去做路基这样子。

iriswong(王钰)(00:01:06): 要填表给他们哦哦！哦哦哦。

杨胜青(00:01:12): 我填信息给他们。

iriswong(王钰)(00:01:13): 了解，然后相当于这些，你像人口基础信息就每个月要更新一次往上报吗？

杨胜青(00:01:23): 呃，人口信息基本上我们之前是。按这个一个月后面基本上是按季度，也就是有自然增减以后就得做。就是有死亡，有这个新生有分入是吧，有分出这些变化那件基本上它每个月多少还是有嘛，所以我们基本上是看量。那之前的时候是每个月只要你有变更，它都是要动，按按这个这个要求是来，因为后面这个量太大了，频繁太频繁，所以有时候会做这个季度的这个季度报表。

iriswong(王钰)(00:01:43): 嗯嗯嗯。嗯嗯嗯。

杨胜青(00:01:54): 但是你季度报表他又有一个问题，你不报的时候，他那边有一部分的小孩子，他就没办法这个在系统里面去。

iriswong(王钰)(00:01:57): 嗯，是。

杨胜青(00:02:01): 叫什么。呃，医保。啊，这个信息的这个查询，所以就返回了，你还得要这个这个，只要他有变化，你都得去去报报表。

iriswong(王钰)(00:02:04): 哦哦哦。他他这个嗯，就是他们就比如出生都要靠你们来报那个上面才能知道这个有新生儿是吧？

杨胜青(00:02:22): 不是新生儿，他已经在那边，他办证他已经有了，但是我们跟国办的时候，他是跟他那个人口系呃系统它是不匹配的嘛？

iriswong(王钰)(00:02:32): 哦哦。

杨胜青(00:02:33): 人口的基础信息，它是国家的这个大数据统计在做嘛，人口数据在做嘛，但是国办它是针对一部分人嘛？

iriswong(王钰)(00:02:38): 嗯嗯嗯。

杨胜青(00:02:40): 那么如果正好这一家人，他是脱贫户。那我们得要单独去报才能见到国办里面去。

iriswong(王钰)(00:02:44): 嗯嗯。

杨胜青(00:02:47): 到到系统里面去。那这样在系统里面这个人？

iriswong(王钰)(00:02:49): 哦，国办是什么？

杨胜青(00:02:51): 国办就是国家，国家。做的一个系统。

iriswong(王钰)(00:02:56): 国办哦，是个系统是吧？

杨胜青(00:02:59): 对国家，国家做的一个专门针对这个脱贫的一个系统。

iriswong(王钰)(00:02:59): 哎呀。哦哦。

杨胜青(00:03:04): 好的。因为我们必须要报这个材料，他们才进到他们这个脱贫系统里面去，建到脱贫系统，他才能去享受他的这个。

iriswong(王钰)(00:03:06): 了解了解。Yep. 

杨胜青(00:03:13): 呃，福利政策？

iriswong(王钰)(00:03:14): 帮扶哦哦。

杨胜青(00:03:16): 对，因为如果是我们不报的话，他就是按正常我们的普通这个人的这个这个生成这个自然增减，那么他就是在呃呃。民政呐和这些系统他都能上得去，包括你派出所，只要你上户了，那么他就直接上去了。但是在国办里面，他就享受不了他政策，比如说他这个脱贫户。他进了这个国办以后，进了脱贫户以后，那么他才有减免他的医保，他的这个养老他都有减免。

iriswong(王钰)(00:03:45): 就是这个信息其实是服务给国办的，就是这个人口基础信息有增减，是因为他有，他属于脱贫户，所以就要通过你们来报上去，他才会有，然后。

杨胜青(00:03:57): 对，我们要去报。

iriswong(王钰)(00:03:58): 噢，就就就这个信息基础信息相当于就是呃服务那个脱贫攻坚的这个登记，对吧？

杨胜青(00:04:00): 对对。对对对，脱贫富的。是这样子，我们这边脱贫户的比例很大嘛，基本上像我们卧龙社区。

iriswong(王钰)(00:04:07): 哦哦哦。

杨胜青(00:04:13): 呃，我是一千八，一千八百零六户。

iriswong(王钰)(00:04:13): 哦，比例很大。

杨胜青(00:04:16): 那我只有。好像只有75户吗？还是几十户是一般户，剩下全是脱贫户？

iriswong(王钰)(00:04:24): 哇，怎么这么多？

杨胜青(00:04:26): 你说我的量大不大，就我一个社区，那还有其他社区呢？

iriswong(王钰)(00:04:28): 是啊，怎么怎么怎么这么大呀！这这这怎么这么大呀？

杨胜青(00:04:31): 嘿嘿嘿。所以我们龙江是整体，它已经你说我们脱贫攻坚做了这么多年，这么辛苦，不就这么？就是因为脱贫人口量太大了。

iriswong(王钰)(00:04:43): 他是怎么评判这个脱贫人口的呀？

杨胜青(00:04:46): 脱贫它是经过几年了，早期之前是20。四年嘛，还是最后确定的一次？是吧，他是各个村从村委里面平平以后后面搬迁直接到我们这边来了。这样子。

iriswong(王钰)(00:04:59): 噢噢，就是他，他用什么数据来认定他是个，就这个这个认定的标准是需要你们去核实的是吧？

杨胜青(00:05:08): 现在我们基本上已经没有再做这个新增的了，因脱贫攻坚过了，就是现在我们只要保他不返贫就行了。

iriswong(王钰)(00:05:17): 哦，不返聘就所以。

杨胜青(00:05:17): 因为这个投屏的证据是在。呃，应该是14年嘛，还是一年，这时候建的基础数据就是一直滚滚滚到24年还是？而是二几年就基本上这个锁定了。也就是这么多人，就这么多人了，现在就不能让这个人再返贫。

iriswong(王钰)(00:05:37): 哦，那那怎么知道他有没有返贫呢？

杨胜青(00:05:37): 这意思。所以我们就每天要监测啊，所以我就后面要跟你说的，我们要。

iriswong(王钰)(00:05:43): 美捐呐。

杨胜青(00:05:45): 我们还在监测他的这个。

iriswong(王钰)(00:05:46): 每天都要啊！哎呀。

杨胜青(00:05:47): 嗯啊。

iriswong(王钰)(00:05:48): 每天都要吗？

杨胜青(00:05:49): 监测他们的就业信息。

iriswong(王钰)(00:05:51): 哦，监测就业信息。Hello. 

杨胜青(00:05:55): 对啊，因为他们去哪里干活，我们都要。了解一手的资料的。

iriswong(王钰)(00:05:58): 跟踪。嗯嗯嗯嗯。

杨胜青(00:06:01): 你有就业信息我们才能去算他的收入。

iriswong(王钰)(00:06:01): 1000多人啊。哦，唉，那他就业信息的收入差，他怎么样，就他口头告诉你听。

杨胜青(00:06:11): 一般都是靠口头嘛，口头基本上那个是准是很难准的，除非他提供。

iriswong(王钰)(00:06:16): 对呀啊。

杨胜青(00:06:17): 所以现在就是我们才有一个交通补贴的一个政策。所以他们干活，他们出去务工的时候，他们只要提供就是工厂的务工证明和他的收入证明回来，我们还有补贴给他的。

iriswong(王钰)(00:06:33): 交通是吧，交交通补贴。

杨胜青(00:06:33): 就会要为了要他们这个精准的这个信息。

iriswong(王钰)(00:06:37): 嗯嗯，所以他如果有务工，比如说给给一个那个证明，说他在哪里哪里务工，然后他就可以领一个交通补贴。

杨胜青(00:06:37): 这个。对，我们就会有一个500块钱的补贴给他。

iriswong(王钰)(00:06:49): 11个月500呀！

杨胜青(00:06:49): 一个人。

iriswong(王钰)(00:06:52): 还是一年呢？

杨胜青(00:06:52): 没有就一次一次性的补贴。

iriswong(王钰)(00:06:53): 哦，一次性哦哦哦！

杨胜青(00:06:56): 就类似于就是鼓励他出去外面干活嘛！

iriswong(王钰)(00:07:01): 对，但是嗯，那如果他不出去干活的话，他作为这个脱贫户，他会有什么？呃，补贴吗。

杨胜青(00:07:12): 不出去的，他在县内的啊，不在省外的县内，我们有县内的政策。

iriswong(王钰)(00:07:17): 嗯嗯。

杨胜青(00:07:18): 也是有政策，他工作满三个月以上，那么每一个月又叠加一点，每个月又叠加，如果达到九个月，那么就给他500块钱补贴。

iriswong(王钰)(00:07:29): 哦，就是他如果是呃，那个脱贫户，然后同时他又有工作。然后他就会有补贴，而且是每个月都有。

杨胜青(00:07:35): 嗯嗯。呃，不是每个月都是一次性的，一次性的补贴。

iriswong(王钰)(00:07:42): 一次性哦哦！

杨胜青(00:07:45): 所以因这样的一了解他的一个工作动态，因为你没有这个东西，他们不愿意真实的提供给你。

iriswong(王钰)(00:07:45): 哦，这样。哦对对。是啊，他肯。

杨胜青(00:07:54): 所以他们要提报这些信息，他是申请材料，我们要去建档，我们要去建表。

iriswong(王钰)(00:08:00): 嗯嗯。那他收入就说他都是凭口头填给你们的是吧？那他是收入多少，其实不太确定。

杨胜青(00:08:06): 嗯，也要让他工厂盖公章的。让他工厂盖公章。

iriswong(王钰)(00:08:10): 哦，要盖。哦，就他公司给他出具他的收入证明。

杨胜青(00:08:14): 对对对，出具的务工证明，因必须不是他凭他。比方说我在哪里务工，我多少钱不是这样子，一定要是要他。

iriswong(王钰)(00:08:16): 哦哦。

杨胜青(00:08:21): 在那边的一个公司工厂，他们给他们出具的一个证明。

iriswong(王钰)(00:08:26): 所以这一类表其实占用的时间挺多是吗？

杨胜青(00:08:31): 我们外出务工的就我卧龙社区，就只有我卧龙社区的话，我们就有2000人左右。是在外外省务工？

iriswong(王钰)(00:08:39): 外出务工2000人左右。

杨胜青(00:08:42): 我的劳动力是4300到4400也就占。百分之这个50是在省外的，那么这一部分人我们是按我们的政策要求和我们的要求是要百分之百都要帮他们能够。申请到这个补贴。也就这2000多人，我只要他工作满三个月的，我都要的帮他去。

iriswong(王钰)(00:08:58): 哦，就是。哦哦。

杨胜青(00:09:04): 做这这份资料要他申请给他这个补贴。

iriswong(王钰)(00:09:08): 所以呃工作的 KPI 就是你们的考核也有，也也也有要求说。这些符合条件拿补贴他们都得拿到，然后呢？拿没拿到就就得。

杨胜青(00:09:18): 对对对对，都要去动员，他都要去跟他要材料过来，都要建档，都要去提交这个表格。去做申请。

iriswong(王钰)(00:09:26): 噢，就就就对您这边来说，这一个部分就占用很多时间了是吧？

杨胜青(00:09:32): 因为他有一个务工证明是吧？他要填。

iriswong(王钰)(00:09:34): 嗯嗯嗯。

杨胜青(00:09:36): 哦，还有一个就是说我们要帮他写一个申请表。

iriswong(王钰)(00:09:40): 嗯嗯嗯。

杨胜青(00:09:41): 是吧。好，申请表回来以后呢，我们还要建一个。

iriswong(王钰)(00:09:42): 申请表。

杨胜青(00:09:46): 那至少就已经三个表了。

iriswong(王钰)(00:09:48): 花名册这个花名册是一个人一张表。

杨胜青(00:09:51): 不是花名册，是我们收集所有人来，我要建花名册嘛，建花名册对统11个表。

iriswong(王钰)(00:09:54): 哦哦，统一的表。哦哦哦哦哦哦！

杨胜青(00:09:57): 对吧，每一个人申请我要建一个发明册，到时候统一你才有报表给这个。上上一级部门嘛？

iriswong(王钰)(00:10:05): 诶，那它这个这个整个过程是就是，呃，首先这个脱贫。啊啊，刚刚说这个务工证明跟脱贫这个是一个事吗？是不一样的是吧？哦，是一样的是吧？

杨胜青(00:10:17): 也也也只有脱贫，他才有享受这个不不脱贫的。

iriswong(王钰)(00:10:20): 哦对对对哦！

杨胜青(00:10:21): 他是一般户都没有这个政策享受的。

iriswong(王钰)(00:10:24): 哦嗯，但是一般户才70多户，剩下全是。

杨胜青(00:10:27): 对啊，很少啊，这钱是脱贫户。

iriswong(王钰)(00:10:30): Sh. H. 卧龙社区有4300个人是？哦，人是。

杨胜青(00:10:36): 我们是7000多人，我是一千八百零六户。

iriswong(王钰)(00:10:40): 哦，所以。

杨胜青(00:10:41): 嗯哼。

iriswong(王钰)(00:10:43): 那1000多是户，就是脱贫脱贫户，然后一个户可能有好几个人是吧？

杨胜青(00:10:47): 对，脱白素。对对对对，人口是7000多人。

iriswong(王钰)(00:10:50): 哇塞。哦，我知道了。

杨胜青(00:10:53): 他是脱贫人口。

iriswong(王钰)(00:10:56): 那就就就干这一件事，就已经占用很多时间了是吧？

杨胜青(00:11:00): 那还有他有政策我们也得干呐！这不是省外，县内，他也有政策。

iriswong(王钰)(00:11:06): 就是光光脱贫就说呃。

杨胜青(00:11:07): 也对。

iriswong(王钰)(00:11:10): 比如说那个填表，可能这个脱贫就占，就这里的表就占了所有的表的百分之多少呀，比如说占了一半。

杨胜青(00:11:11): 嗯嗯。对，基本上可能。基本上一半多了，他们都是脱贫的，基本上都是脱贫的，其他其他很少。因为一般付的时候，我们只是登记有几个东西会登记，就是这个人口信息或者是他们来申请的这个。呃，新生儿新入户的是吧？啊，去去申请到派出所去入户，我们只开一些证明材料而已，但实际我们其他东西我们都不在意他们做这这个呃监控和监管。是吧，他去哪里就业或者怎么样，我们只是平常可能稍微了解一下就可以了。是吧，避免就知道他家里有没有人在家住。

iriswong(王钰)(00:11:51): 嗯嗯嗯。

杨胜青(00:11:54): 呃，去正常这种填写这种基础的这个人口信息，这样子，但脱贫户的话就是。

iriswong(王钰)(00:11:54): 嗯嗯嗯。

杨胜青(00:12:00): 非常非常的细，非常的繁琐。了解到每个人的电话还是准确的，因为它上面还有要抽查。

iriswong(王钰)(00:12:03): 哦哦。

杨胜青(00:12:08): 哦，还要核实这个人是？

iriswong(王钰)(00:12:08): 还挨挨个打电话去看是不是哦？

杨胜青(00:12:10): 对，还要去抽你这个东西对不对？是吧，所以他们的就业信息的时候，比如说他还有一个更更麻烦的一个问题是什么呢？

iriswong(王钰)(00:12:14): 哦哦哦。嗯嗯嗯。

杨胜青(00:12:19): 他们出去外面的时候，他不可能就是说我进一个厂。一干就干到年底。

iriswong(王钰)(00:12:23): 嗯嗯。

杨胜青(00:12:25): 对吧。他可能一年要换好几个地方，好几个厂。所以不停要去更新他的这个就业信息。

iriswong(王钰)(00:12:34): 他也不会主动跟你们说，反正就得你们挨个打电话。

杨胜青(00:12:36): 不会不会，所以我们之前。

iriswong(王钰)(00:12:38): 哦哦。

杨胜青(00:12:38): 对，之前我们在小程序里面，我们之前才跟他们探讨一个问题嘛，比如说如果他们真正能入住的话，是吧，樱桃微信登的时候是不是就锁定了位置就可以直接他在微信里面直接提报？

iriswong(王钰)(00:12:43): 哦哦哦。嗯哦哦。

杨胜青(00:12:50): 他本人可以直接提报他，提报他的位置，提报工厂，那我们这边直接以他那个来做凭证。是吧。就能直接导进就变成我们的这个，他在外公这个具体的这个。

iriswong(王钰)(00:12:58): 嗯嗯嗯。

杨胜青(00:13:03): 就业信息地址？

iriswong(王钰)(00:13:03): 就收。就想通过小程序来收集这个务，呃，在外务工的这些信息，然后方便你们帮他去申请这个补贴。

杨胜青(00:13:11): 对对对，因为他只要我我他只要在这里面去报告他那里点了一个位置给我们，我们这边就直接知道他的具体地址是不是符合是省外的。对吧。

iriswong(王钰)(00:13:21): 嗯嗯嗯。

杨胜青(00:13:22): 他第一次登记时候，我们如果是说知道他是，比如说他1月份出去他点的这个地址。是吧，那如果我们三个月以后，那我们就可以时间上算，我们因为我们按政策，如果是三个月做干干满三个月的话，我们都可以给他做申请了嘛，那如果三个月他还在省外，那我们就以三个月的这个时限就可以直接给他做申请。

iriswong(王钰)(00:13:27): 嗯嗯。

iriswong(王钰)(00:13:43): 噢噢，我知道了，唉，那杨主任啊，我，我能不能这样总结就是啊，卧龙社区一年下来的表可能都有上110个。然后这个表里面有50%以上是跟这个脱贫有关的。

杨胜青(00:13:57): 对对，可以，至少百分之百分之七八十可能都是这边的。

iriswong(王钰)(00:13:59): 50%以上。哦，七八十就脱贫户的这个相关的表就占去这工作量就七八十。

杨胜青(00:14:03): 嗯嗯。

iriswong(王钰)(00:14:08): 哦呃。

杨胜青(00:14:08): 对对对。

iriswong(王钰)(00:14:10): 然然后呢，这这里面主要的一个比较呃繁琐的地方，就是如何实时追踪更新这个外出务工的人。

杨胜青(00:14:20): 对对，这个就业信息是最大的一个头痛的问题。哦，其次的就是他们那个缴交这个医疗医保的这一块。哦，因为是我们。

iriswong(王钰)(00:14:28): 缴交医疗医保。

杨胜青(00:14:30): 对，交养老和那个医保合一农农活一这一块。啊，因为这一块的时候，他在脱贫富这一块啊，他是强制性的。

iriswong(王钰)(00:14:35): 嗯嗯嗯。

杨胜青(00:14:39): 必须要求他们是做百分之百的这个。

iriswong(王钰)(00:14:43): 嗯嗯嗯。

杨胜青(00:14:43): 虽然说政策是说希望他们都是说呃，这个是自由啊。这是看你个人了？

iriswong(王钰)(00:14:49): 嗯嗯嗯。

杨胜青(00:14:51): 但实际对于政策来讲，脱贫来讲的时候，如果他连医保和这个养老都没交，那你怎么能保证他脱贫？

iriswong(王钰)(00:14:58): 哦哦。

杨胜青(00:14:59): 对不对，因为他医保如果没交，他一旦有重大这个疾病出来，马上就返贫了。

iriswong(王钰)(00:15:00): 那这这。哦哦。

杨胜青(00:15:04): 医医药费太贵了。

iriswong(王钰)(00:15:04): 哦对对对。

杨胜青(00:15:06): 是吧。

iriswong(王钰)(00:15:06): 嗯嗯。

杨胜青(00:15:07): 所以我们必须动员，他必须要全部要交医保，如果他不交医保的时候，他在公司有公司要给他交了这个职工医保，我们也能追溯得到。

iriswong(王钰)(00:15:15): 嗯嗯。

杨胜青(00:15:16): 否则投屏系统你不不断的这个跳这个这个信息出来给你，这个人还没交医保，这个人还没交养老。哼哼。

iriswong(王钰)(00:15:23): 噢，就是呃，缴交医疗医保这个其实是啊，你们要去动员的，但其实这个就跟填表没关系了是吧？

杨胜青(00:15:30): 对，要去动员的，并且如果是说他到我们。他到我们社区自己交，那我们有凭证，如果他在其他地方交了这个呃职工医保啊。哦，因他出外面去嘛，肯定有公司肯定跟他交，那我们就追溯不到这个信息了。

iriswong(王钰)(00:15:46): 哦，那你们平常用什么方式追书就打电话不断的问。

杨胜青(00:15:50): 就只能打电话，不知道问有没有交，有没有交，交的话你们公司那边就提供个证明回来。

iriswong(王钰)(00:15:50): 你交了没？你交了没？

杨胜青(00:15:56): 或者是他们经常那个？

iriswong(王钰)(00:15:56): 哦，这样子。

杨胜青(00:15:58): 进那个人社的那个系统里面去把那个凭证。是吧，弄出来就给我们。

iriswong(王钰)(00:16:02): 那他们配合吗？他们会配合吗？

杨胜青(00:16:05): 一般我们现在做了这么多年，大家也都知道了嘛，可能就是说百分之在90多还是多少，只可能有5%到510%少部分人可能有点不配合，绝大多数他还是配合的。

iriswong(王钰)(00:16:10): 嗯嗯。

杨胜青(00:16:19): 因为他们自己也知道。

iriswong(王钰)(00:16:19): 诶对了。哦哦哦。

杨胜青(00:16:21): 如果是他不配合我们电话，就一天不知道打多少次，他也很烦。

iriswong(王钰)(00:16:26): 了解，唉，那它这个比它就是一次性的吗？噢，不对，这个缴交医医疗医保是每年都要交的。

杨胜青(00:16:26): 哼哼。半年的。他按年的。

iriswong(王钰)(00:16:34): 哦哦哦哦哦！那其实这里面。

杨胜青(00:16:36): 农村这个一条河嗯！

iriswong(王钰)(00:16:38): 对噢，那那其实脱贫攻坚的这个信息的维护很核心的，就是在怎么收集，怎么确认这个信息。

杨胜青(00:16:39): 对对对对。

